URL,Listing_ID,Type,Subtype,Price,Bedroom,Living_area,Listing_address,Postal_code,Locality,District,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Kitchen,Facade,Open Fire,Furnished,State of the building
https://www.immoweb.be/en/classified/apartment/for-sale/hoeselt/3730/10679379,10679379.0,apartment,apartment,199000,2,87.0,L. Lambrechtsstraat 19,3730,Hoeselt,Tongeren,False,,,,True,usa hyper equipped,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/durbuy/6940/10679376,10679376.0,house,house,369000,3,137.0,Rue Saint-Monon 3,6940,Durbuy,Marche-en-Famenne,False,True,974,1707,True,hyper equipped,4.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/loncin/4431/10679375,10679375.0,house,house,165000,2,129.0,None None,4431,Loncin,Liège,False,True,95,191,True,,2.0,False,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/willebroek/2830/10679374,10679374.0,house,house,195000,1,60.0,Groene Laan 72,2830,Willebroek,Mechelen,False,,,80,True,,3.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/house/for-sale/bornem/2880/10516816,10516816.0,house,house,250000,3,121.0,Breevenstraat 36,2880,Bornem,Mechelen,False,True,37,225,True,,3.0,False,False,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/dinant/5500/10679373,10679373.0,house,house,145000,3,86.0,None None,5500,Dinant,Dinant,False,,,45,True,installed,2.0,False,,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-leeuw/1600/10646220,10646220.0,apartment,apartment,169000,1,67.0,Groot Bijgaarden Straat 131,1600,Sint-Pieters-Leeuw,Halle-Vilvoorde,False,True,43,,True,installed,2.0,False,False,TO_RENOVATE
https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-leeuw/1600/10646219,10646219.0,apartment,apartment,158900,2,60.0,Groot Bijgaarden Straat 131,1600,Sint-Pieters-Leeuw,Halle-Vilvoorde,False,,,,True,installed,2.0,False,False,TO_RENOVATE
https://www.immoweb.be/en/classified/duplex/for-sale/sint-pieters-leeuw/1600/10646218,10646218.0,apartment,duplex,192500,3,110.0,Groot Bijgaarden Straat 131,1600,Sint-Pieters-Leeuw,Halle-Vilvoorde,False,,,,True,installed,2.0,False,False,TO_RENOVATE
https://www.immoweb.be/en/classified/apartment/for-sale/drogenbos/1620/10646217,10646217.0,apartment,apartment,169000,1,67.0,Groot Bijgaarden Straat 131,1620,Drogenbos,Halle-Vilvoorde,False,True,43,,True,installed,2.0,False,False,TO_RENOVATE
https://www.immoweb.be/en/classified/apartment/for-sale/drogenbos/1620/10646216,10646216.0,apartment,apartment,158900,2,60.0,Groot Bijgaarden Straat 131,1620,Drogenbos,Halle-Vilvoorde,False,,,,True,installed,2.0,False,False,TO_RENOVATE
https://www.immoweb.be/en/classified/duplex/for-sale/drogenbos/1620/10646215,10646215.0,apartment,duplex,192500,3,110.0,Groot Bijgaarden Straat 131,1620,Drogenbos,Halle-Vilvoorde,False,,,,True,installed,2.0,False,False,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/10679369,10679369.0,house,house,225000,3,110.0,Rue Profondval 27,4400,Flemalle,Liège,False,,,0,True,installed,3.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/antwerp/2600/10679365,10679365.0,house,house,474000,4,206.0,Amethiststraat 11,2600,Antwerp,Antwerp,False,True,80,170,True,,2.0,False,,GOOD
