URL,Listing_ID,Type,Subtype,Price,Bedroom,Living_area,Listing_address,Postal_code,Locality,District,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Kitchen,Facade,Open Fire,Furnished,State of the building,Price_per_sqm,province
https://www.immoweb.be/en/classified/house/for-sale/brasschaat/2930/10658443,10658443.0,house,house,395000.0,3.0,141.0,De Aard 60,2930,Brasschaat,Antwerp,False,True,0.0,352.0,True,installed,3.0,True,False,GOOD,2801.42,Antwerp
https://www.immoweb.be/en/classified/house/for-sale/wauthier-braine/1440/10658440,10658440.0,house,house,350000.0,7.0,200.0,Chaussée de Tubize 27,1440,Wauthier-Braine,Nivelles,False,False,0.0,340.0,True,,3.0,False,False,,1750.0,Walloon_Brabant
https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10658437,10658437.0,house,house,269000.0,2.0,146.0,Hertboomstraat None,1760,Roosdaal,Halle-Vilvoorde,False,False,0.0,440.0,True,semi equipped,4.0,True,False,TO_RENOVATE,1842.47,Flemish_Brabant
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10658435,10658435.0,apartment,apartment,210000.0,2.0,91.0,Petrus de Beuckelaerlaan 13,2100,Deurne,Antwerp,False,False,0.0,0.0,True,semi equipped,2.0,True,False,AS_NEW,2307.69,Antwerp
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10658434,10658434.0,apartment,apartment,285000.0,3.0,100.0,Bisschoppenhoflaan 380,2100,Deurne,Antwerp,False,False,0.0,0.0,True,usa installed,2.0,True,False,AS_NEW,2850.0,Antwerp
https://www.immoweb.be/en/classified/house/for-sale/bois-de-villers/5170/10658433,10658433.0,house,house,265000.0,3.0,125.0,Rue Raymond Noël 8,5170,BOIS-DE-VILLERS,Namur,False,True,342.0,755.0,True,semi equipped,4.0,True,False,TO_RENOVATE,2120.0,Namur
https://www.immoweb.be/en/classified/penthouse/for-sale/etterbeek/1040/10658429,10658429.0,apartment,penthouse,495000.0,2.0,119.0,Philippe Baucqstraat 58,1040,Etterbeek,Brussels,False,False,0.0,0.0,True,usa hyper equipped,3.0,False,False,AS_NEW,4159.66,Brussels
https://www.immoweb.be/en/classified/apartment/for-sale/rocourt/4000/10658428,10658428.0,apartment,apartment,190000.0,2.0,75.0,Avenue de la Closeraie 11,4000,ROCOURT,Liège,False,False,0.0,0.0,True,semi equipped,2.0,True,False,GOOD,2533.33,Liege
https://www.immoweb.be/en/classified/house/for-sale/pontillas/5380/10538235,10538235.0,house,house,370000.0,4.0,189.0,Rue de Namur 11,5380,PONTILLAS,Namur,False,True,0.0,0.0,True,semi equipped,4.0,True,False,GOOD,1957.67,Namur
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10658427,10658427.0,apartment,apartment,395000.0,2.0,146.0,None None,1030,Schaerbeek,Brussels,False,False,0.0,0.0,True,installed,2.0,True,False,GOOD,2705.48,Brussels
https://www.immoweb.be/en/classified/house/for-sale/bastogne/6600/10658426,10658426.0,house,house,295000.0,3.0,179.0,Rue d'Assenois 3,6600,Bastogne,Bastogne,False,False,0.0,160.0,True,installed,2.0,True,False,JUST_RENOVATED,1648.04,Luxemburg
https://www.immoweb.be/en/classified/apartment-block/for-sale/bastogne/6600/10658425,10658425.0,house,apartment block,295000.0,3.0,179.0,Rue d'Assenois 3,6600,Bastogne,Bastogne,False,False,0.0,160.0,True,installed,2.0,True,False,JUST_RENOVATED,1648.04,Luxemburg
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9051/10658424,10658424.0,apartment,apartment,250000.0,1.0,60.0,Raymonde de Larochelaan 1,9051,Gent,Gent,False,False,0.0,0.0,True,usa hyper equipped,4.0,False,False,AS_NEW,4166.67,East_Flanders
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9051/10658423,10658423.0,apartment,apartment,280000.0,2.0,73.0,Raymonde de Larochelaan 1,9051,Gent,Gent,False,False,0.0,0.0,True,usa hyper equipped,4.0,False,False,AS_NEW,3835.62,East_Flanders
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/10658422,10658422.0,apartment,ground floor,435000.0,2.0,126.0,Raymonde de Larochelaan 1,9051,Gent,Gent,False,False,0.0,0.0,True,usa hyper equipped,4.0,False,False,AS_NEW,3452.38,East_Flanders
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9051/10658421,10658421.0,apartment,apartment,320000.0,2.0,90.0,Raymonde de Larochelaan 1,9051,Gent,Gent,False,False,0.0,0.0,True,usa hyper equipped,4.0,False,False,AS_NEW,3555.56,East_Flanders
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9051/10658420,10658420.0,apartment,apartment,400000.0,3.0,111.0,Raymonde de Larochelaan 1,9051,Gent,Gent,False,False,0.0,0.0,True,usa hyper equipped,4.0,False,False,AS_NEW,3603.6,East_Flanders
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/10658419,10658419.0,apartment,ground floor,355000.0,3.0,101.0,Raymonde de Larochelaan 1,9051,Gent,Gent,False,False,0.0,0.0,True,usa hyper equipped,4.0,False,False,AS_NEW,3514.85,East_Flanders
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9051/10658418,10658418.0,apartment,apartment,320000.0,2.0,83.0,Raymonde de Larochelaan 1,9051,Gent,Gent,False,False,0.0,0.0,True,usa hyper equipped,4.0,False,False,AS_NEW,3855.42,East_Flanders
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/10658417,10658417.0,apartment,ground floor,385000.0,3.0,104.0,Raymonde de Larochelaan 1,9051,Gent,Gent,False,False,0.0,0.0,True,usa hyper equipped,4.0,False,False,AS_NEW,3701.92,East_Flanders
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/10658416,10658416.0,apartment,ground floor,310000.0,2.0,90.0,Raymonde de Larochelaan 1,9051,Gent,Gent,False,False,0.0,0.0,True,usa hyper equipped,4.0,False,False,AS_NEW,3444.44,East_Flanders
https://www.immoweb.be/en/classified/house/for-sale/westende/8434/10658412,10658412.0,house,house,165000.0,2.0,54.0,Heidestraat 195,8434,Westende,Oostend,False,False,0.0,0.0,True,installed,2.0,True,True,GOOD,3055.56,West_Flanders
https://www.immoweb.be/en/classified/house/for-sale/malmedy/4960/10658381,10658381.0,house,house,365000.0,3.0,150.0,Rue des Avrules 42,4960,Malmedy,Verviers,False,True,0.0,1121.0,True,installed,4.0,False,False,,2433.33,Liege
https://www.immoweb.be/en/classified/house/for-sale/onze-lieve-vrouw-waver/2861/10658379,10658379.0,house,house,445000.0,3.0,240.0,Boekweitlaan 11,2861,Onze-Lieve-Vrouw-Waver,Mechelen,False,True,0.0,613.0,True,installed,4.0,True,False,TO_BE_DONE_UP,1854.17,Antwerp
